id,project_code,price_quot_number,po_so_number,asn_dn,country,managed_by,fulfill_via,vendor_inco_term,shipment_mode,pq_first_sent_to_client_date,po_sent_to_vendor_date,scheduled_delivery_date,delivered_to_client_date,delivery_recorded_date,late_deliveries,product_group,sub_classification,vendor,item_description,molecule_test_type,brand,dosage,dosage_form,unit_of_measure_per_pack,line_item_quantity,line_item_value,pack_price,unit_price,manufacturing_site,first_line_designation,weight_in_kgs,freight_cost_in_usd,line_item_insurance_in_usd
61852,105-GY-T30,FPQ-16480,SCMS-293570,ASN-33568,Guyana,"PMO - US","Direct Drop",EXW,Air,2015-06-24,2015-07-17,2015-08-28,2015-08-28,2015-08-28,0,HRDT,"HIV test","Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,NULL,"Test kit",100,305,30500.00,100.00,1.00,"Alere Medical Co., Ltd.",Yes,NULL,NULL,35.90
61864,104-CI-T30,FPQ-5208,SCMS-75371,ASN-7630,"Côte d'Ivoire","PMO - US","Direct Drop",EXW,Air,2010-02-25,2010-06-07,2010-08-17,2010-08-17,2010-08-17,0,HRDT,"HIV test","Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Kit, (no accessories), 30 Tests","HIV 1/2, Bioline 3.0 Kit (no accessories)",Bioline,NULL,"Test kit",30,900,21600.00,24.00,0.80,"Standard Diagnostics, Korea",Yes,300.000,3489.46,46.57
61871,105-DO-T30,FPQ-7858,SCMS-117370,ASN-11929,"Dominican Republic","PMO - US","Direct Drop",EXW,Air,2011-06-21,2011-08-03,2011-09-12,2011-09-12,2011-09-12,0,HRDT,"HIV test","Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Kit, 100 Tests","HIV 1/2, Bioline 3.0 Kit",Bioline,NULL,"Test kit",100,41,3075.00,75.00,0.75,"Standard Diagnostics, Korea",Yes,28.000,483.68,5.07
61882,161-ZA-T30,FPQ-5303,SCMS-68950,ASN-7130,"South Africa","PMO - US","Direct Drop",DDP,Air,2010-03-18,2010-03-19,2010-06-11,2010-06-11,2010-06-11,0,ARV,Adult,"Aurobindo Pharma Limited","Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,150mg,Tablet,60,2,5.06,2.53,0.04,"Aurobindo Unit III, India",Yes,1.000,4116.81,0.01
61896,102-ML-T30,FPQ-11783,SCMS-182800,ASN-19649,Mali,"PMO - US","Direct Drop",EXW,Air,2013-03-15,2013-04-11,2013-06-11,2013-06-11,2013-06-11,0,HRDT,"HIV test - Ancillary","Orgenics, Ltd","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,NULL,"Test kit - Ancillary",100,21,105.00,5.00,0.05,"Alere Medical Co., Ltd.",No,NULL,NULL,0.13
61913,105-SS-T30,FPQ-12623,SCMS-200920,ASN-21751,"South Sudan","PMO - US","Direct Drop",EXW,Air,2013-07-18,2013-08-06,2013-10-18,2013-10-18,2013-10-18,0,HRDT,"HIV test","Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,NULL,"Test kit",20,18,576.00,32.00,1.60,"Trinity Biotech, Plc",No,NULL,NULL,0.71
61959,114-UG-T30,FPQ-12477,SCMS-198690,ASN-21520,Uganda,"PMO - US","Direct Drop",EXW,Air,2013-07-08,2013-07-30,2013-09-14,2013-09-14,2013-09-14,0,ARV,Adult,"STRIDES ARCOLAB LIMITED","Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,111348,355200.12,3.19,0.11,"Strides, Bangalore, India.",Yes,6953.000,30711.92,439.38
61980,106-HT-T30,FPQ-9621,SCMS-147100,ASN-16682,Haiti,"PMO - US","Direct Drop",CIP,Air,2012-04-20,2012-06-08,2012-10-29,2012-10-29,2012-10-29,0,ARV,Pediatric,"MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.)","Efavirenz 30mg/ml [Stocrin/Sustiva], oral solution, Bottle, 180 ml",Efavirenz,Stocrin/Sustiva,30mg/ml,"Oral solution",180,2295,38923.20,16.96,0.09,"MSD, Haarlem, NL",Yes,687.000,5293.76,54.57
61993,111-MZ-T30,FPQ-14294,SCMS-247350,ASN-27821,Mozambique,"PMO - US","Direct Drop",EXW,Air,2014-05-15,2014-07-30,2014-09-08,2014-09-08,2014-09-09,0,HRDT,"HIV test","Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,NULL,"Test kit",20,8261,264352.00,32.00,1.60,"Trinity Biotech, Plc",Yes,298.000,16397.94,271.75
61998,117-ET-T30,FPQ-9098,SCMS-133560,ASN-16135,Ethiopia,"PMO - US","Direct Drop",EXW,Air,2012-01-10,2012-01-23,2012-09-05,2012-09-05,2012-09-05,0,HRDT,"HIV test","CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit, 20 Tests","HIV 1/2, Stat-Pak HIV, Kit",Stat-Pak,NULL,"Test kit",20,340,9860.00,29.00,1.45,"Chembio Diagnostics Sys. Inc.",Yes,128.000,810.96,13.82
